polymer,convention,solute,solvent,A_logP_concentration,B_logP_concentration,delta_B_minus_A,A_logP_x,B_logP_x,sign_changed
pvdf,normalized,BBP,isopropylamine,-0.3708062822704418,0.481299041268488,0.8521053235389298,-0.8188721670766445,0.036579734147423396,True
pvdf,normalized,BBP,o-xylene,-0.3271551175289565,0.27933212433095655,0.606487241859913,-0.6279327738099538,-0.01809895426490276,True
pvdf,normalized,BBP,toluene,-0.16260019895689065,0.44825319157658683,0.6108533905334774,-0.5184788304790321,0.09572113773958343,True
pvdf,normalized,DEHP,1-propanol,-0.3744982845362754,0.2099126466514133,0.5844109311876887,-0.8836903862665756,-0.29593287739374885,True
pvdf,normalized,DEHP,cyclohexanol,-0.2333063571927042,0.4060100910231274,0.6393164482158316,-0.5927240262428892,0.04993899965808048,True
pvdf,normalized,DEHP,dimethyl sulfoxide,-0.15864521498707462,0.12228462761026371,0.28092984259733833,-0.6900744520490911,-0.4057980317666148,True
pvdf,normalized,DEHP,ethanol,-0.47683822151913,0.03350984625190667,0.5103480677710367,-1.0932930780749095,-0.5795984326187348,True
pvdf,normalized,DEHP,heptane,-0.1309755723130632,0.3785807053804755,0.5095562776935387,-0.34704391270206997,0.16585894267660672,True
pvdf,normalized,DEHP,isopropanol,-0.3271901484190596,0.26364375393366557,0.5908339023527251,-0.8257747542896823,-0.23159427425181908,True
pvdf,normalized,DEHP,tert-butanol,-0.08970389734506418,0.36422009307018216,0.45392399041524634,-0.49704205797485823,-0.039771489874473875,True
evoh,existing,DEP,cyclohexane,0.05824892340170762,-0.12690448371319435,-0.18515340711490197,-0.3741076940551685,-0.5642213534069346,True
evoh,existing,DEP,cyclohexanol,0.09175560658347498,-0.0007080627098910997,-0.09246366929336608,-0.1969461028902415,-0.2830710627462577,True
evoh,existing,DBP,dodecane,0.021936479019527097,-0.22293500192190785,-0.24487148094143496,-0.06995629294847613,-0.33954359239895826,True
evoh,existing,DBP,hexane,0.29462847876228776,-0.008711202755654263,-0.303339681517942,0.09987679330173774,-0.19712417877885446,True
