convention,solute,solvent,A_retention_order_most_first,B_retention_order_most_first,Spearman_rho,Kendall_tau,A_top_polymer,B_top_polymer,top_changed,A_top_gap_log_units,B_top_gap_log_units
existing,DEHP,heptane,pvdf>pp>pvc>pe>nylon6>evoh>nylon66,pvc>pvdf>pp>pe>evoh>nylon6>nylon66,0.8571428571428573,0.7142857142857143,pvdf,pvc,True,1.0142301676982015,0.09563286187909514
existing,DEHP,hexane,pvdf>pp>pvc>pe>nylon6>evoh>nylon66,pvc>pvdf>pp>pe>evoh>nylon6>nylon66,0.8571428571428573,0.7142857142857143,pvdf,pvc,True,1.0142301676982013,0.09563286187909525
existing,DEHP,isopropanol,pvdf>pp>pvc>pe>nylon6>evoh>nylon66,pvc>pvdf>pp>pe>evoh>nylon6>nylon66,0.8571428571428573,0.7142857142857143,pvdf,pvc,True,1.014230167698201,0.09563286187909514
existing,DEHP,isopropylamine,pvdf>pp>pvc>pe>nylon6>evoh>nylon66,pvc>pvdf>pp>pe>evoh>nylon6>nylon66,0.8571428571428573,0.7142857142857143,pvdf,pvc,True,1.0142301676982013,0.09563286187909509
existing,DEHP,methanol,pvdf>pp>pvc>pe>nylon6>evoh>nylon66,pvc>pvdf>pp>pe>evoh>nylon6>nylon66,0.8571428571428573,0.7142857142857143,pvdf,pvc,True,1.0142301676982015,0.09563286187909581
existing,DEHP,methylacetate,pvdf>pp>pvc>pe>nylon6>evoh>nylon66,pvc>pvdf>pp>pe>evoh>nylon6>nylon66,0.8571428571428573,0.7142857142857143,pvdf,pvc,True,1.014230167698201,0.09563286187909514
existing,DEHP,"n,n-dimethylformamide",pvdf>pp>pvc>pe>nylon6>evoh>nylon66,pvc>pvdf>pp>pe>evoh>nylon6>nylon66,0.8571428571428573,0.7142857142857143,pvdf,pvc,True,1.014230167698201,0.09563286187909525
existing,DEHP,o-xylene,pvdf>pp>pvc>pe>nylon6>evoh>nylon66,pvc>pvdf>pp>pe>evoh>nylon6>nylon66,0.8571428571428573,0.7142857142857143,pvdf,pvc,True,1.014230167698201,0.09563286187909503
existing,DEHP,tert-butanol,pvdf>pp>pvc>pe>nylon6>evoh>nylon66,pvc>pvdf>pp>pe>evoh>nylon6>nylon66,0.8571428571428573,0.7142857142857143,pvdf,pvc,True,1.0142301676982013,0.09563286187909503
existing,DEHP,tetrahydrofuran,pvdf>pp>pvc>pe>nylon6>evoh>nylon66,pvc>pvdf>pp>pe>evoh>nylon6>nylon66,0.8571428571428573,0.7142857142857143,pvdf,pvc,True,1.0142301676982013,0.09563286187909514
existing,DEHP,tetrahydropyran,pvdf>pp>pvc>pe>nylon6>evoh>nylon66,pvc>pvdf>pp>pe>evoh>nylon6>nylon66,0.8571428571428573,0.7142857142857143,pvdf,pvc,True,1.0142301676982015,0.09563286187909503
existing,DEHP,toluene,pvdf>pp>pvc>pe>nylon6>evoh>nylon66,pvc>pvdf>pp>pe>evoh>nylon6>nylon66,0.8571428571428573,0.7142857142857143,pvdf,pvc,True,1.0142301676982013,0.0956328618790952
existing,DEHP,triethylamine,pvdf>pp>pvc>pe>nylon6>evoh>nylon66,pvc>pvdf>pp>pe>evoh>nylon6>nylon66,0.8571428571428573,0.7142857142857143,pvdf,pvc,True,1.0142301676982013,0.09563286187909514
existing,DEHP,water,pvdf>pp>pvc>pe>nylon6>evoh>nylon66,pvc>pvdf>pp>pe>evoh>nylon6>nylon66,0.8571428571428573,0.7142857142857143,pvdf,pvc,True,1.0142301676981997,0.09563286187909625
