solute,solvent,A_status,A_solvent_volume_cm3_mol,A_solvent_volume_source,A_PE_volume_cm3_mol,A_PE_volume_source,A_logP_x,A_logP_concentration,A_legacy_unnormalized_x1e5_logP_concentration,B_status,B_solvent_volume_cm3_mol,B_solvent_volume_source,B_PE_volume_cm3_mol,B_PE_volume_source,B_logP_x,B_logP_concentration,B_legacy_unnormalized_x1e5_logP_concentration,B_OPT_weight_sensitivity_logP_concentration,delta_B_minus_A,delta_B_minus_A_x,sign_changed
BBP,2-butanone,predicted,90.33700826860434,documented campaign table,158.85961546922138,Boltzmann-weighted route-specific COSMO cavity,1.5494640147301622,1.794611817967182,1.3041978727050214,predicted,90.33700826860434,documented campaign table,157.01198792861894,Boltzmann-weighted route-specific COSMO cavity,1.2094842694925605,1.4495513779890443,0.9771561776303749,1.4493662164834755,-0.3450604399781376,-0.33997974523760166,False
BBP,acetic acid,predicted,57.52382776952919,documented campaign table,158.85961546922138,Boltzmann-weighted route-specific COSMO cavity,0.3424573983620476,0.7836231280335149,0.29327657045656674,predicted,57.52382776952919,documented campaign table,157.01198792861894,Boltzmann-weighted route-specific COSMO cavity,-0.03714176388575132,0.3989432710451799,-0.07337651206885054,0.3987581095396109,-0.38467985698833496,-0.3795991622477989,False
BBP,acetone,predicted,74.05329593267884,documented campaign table,158.85961546922138,Boltzmann-weighted route-specific COSMO cavity,1.6440974703810944,1.9755665846737096,1.4851448270491592,predicted,74.05329593267884,documented campaign table,157.01198792861894,Boltzmann-weighted route-specific COSMO cavity,1.2231418041313284,1.5495302236834076,1.0771317740374196,1.5493450621778388,-0.42603636099030195,-0.420955666249766,False
BBP,acetylacetone,predicted,103.01162671056692,documented campaign table,158.85961546922138,Boltzmann-weighted route-specific COSMO cavity,1.1714184818669973,1.3595457434444205,0.8691461773725133,predicted,103.01162671056692,documented campaign table,157.01198792861894,Boltzmann-weighted route-specific COSMO cavity,0.8022312993236477,0.9852778661605348,0.5128959256849822,0.9850927046549658,-0.37426787728388566,-0.3691871825433496,False
BBP,benzene,predicted,89.41518526573641,documented campaign table,158.85961546922138,Boltzmann-weighted route-specific COSMO cavity,1.4464113880368434,1.6960136142794238,1.2056050913585339,predicted,89.41518526573641,documented campaign table,157.01198792861894,Boltzmann-weighted route-specific COSMO cavity,1.3421172356740385,1.5866387671760829,1.1142363902582038,1.586453605670514,-0.10937484710334089,-0.10429415236280493,False
BBP,chloroform,predicted,80.70716289761012,documented campaign table,158.85961546922138,Boltzmann-weighted route-specific COSMO cavity,4.2876689144349545,4.581770340604947,4.091241039327268,predicted,80.70716289761012,documented campaign table,157.01198792861894,Boltzmann-weighted route-specific COSMO cavity,2.339121703775169,2.6281424352046248,2.155683568303881,2.6279572736990553,-1.9536279054003218,-1.9485472106597856,False
BBP,cyclohexane,predicted,108.75048455872852,documented campaign table,158.85961546922138,Boltzmann-weighted route-specific COSMO cavity,0.45658739057387326,0.6211696968347431,0.13082099630394775,predicted,108.75048455872852,documented campaign table,157.01198792861894,Boltzmann-weighted route-specific COSMO cavity,0.3241627570900141,0.4836643686103479,0.011322714625735336,0.4834792071047789,-0.1375053282243952,-0.1324246334838592,False
BBP,cyclohexanol,predicted,106.0,documented campaign table,158.85961546922138,Boltzmann-weighted route-specific COSMO cavity,0.45826078781656265,0.6339684295263543,0.14359436089412814,predicted,106.0,documented campaign table,157.01198792861894,Boltzmann-weighted route-specific COSMO cavity,0.4640787771381966,0.6347057241074523,0.162335536007632,0.6345205626018834,0.000737294581097947,0.005817989321633965,False
BBP,dichloromethane,predicted,64.0,documented campaign table,158.85961546922138,Boltzmann-weighted route-specific COSMO cavity,3.1930120970475953,3.58784563003827,3.0973502378556823,predicted,64.0,documented campaign table,157.01198792861894,Boltzmann-weighted route-specific COSMO cavity,1.9756885407566696,2.3654413790068083,1.8930021571101012,2.3652562175012393,-1.2224042510314619,-1.2173235562909257,False
BBP,dimethyl sulfoxide,predicted,71.33362547472977,documented campaign table,158.85961546922138,Boltzmann-weighted route-specific COSMO cavity,1.1688197206462003,1.5165389303678236,1.026118301717319,predicted,71.33362547472977,documented campaign table,157.01198792861894,Boltzmann-weighted route-specific COSMO cavity,0.8807395941112925,1.2233781090923799,0.7509775415681814,1.2231929475868109,-0.29316082127544374,-0.2880801265349078,False
BBP,diphenyl ether,predicted,130.4012629315705,route-specific COSMO cavity,158.85961546922138,Boltzmann-weighted route-specific COSMO cavity,1.1722699283474087,1.258001637779167,0.7676044562373924,predicted,126.06119532135739,route-specific COSMO cavity,157.01198792861894,Boltzmann-weighted route-specific COSMO cavity,0.9865364339401951,1.0818878253534616,0.6095017800574138,1.0817026638478926,-0.17611381242570534,-0.18573349440721365,False
BBP,dodecane,predicted,228.4909456740442,documented campaign table,158.85961546922138,Boltzmann-weighted route-specific COSMO cavity,0.14462785887111365,-0.013227629274811775,-0.5035952193452639,predicted,228.4909456740442,documented campaign table,157.01198792861894,Boltzmann-weighted route-specific COSMO cavity,0.01932562834789084,-0.14361055453857055,-0.6159686512487383,-0.14379571604413954,-0.13038292526375878,-0.1253022305232228,False
